0.025	5.5256E+02	1.0177E+03	1.3571E+03	1.4584E+03	1.9695E+03	2.5173E+03	2.8243E+03	2.8337E+03	2.6466E+03	2.4291E+03	2.3325E+03	2.4375E+03	2.7291E+03	3.1045E+03	3.4158E+03	3.5486E+03	3.5375E+03	3.7188E+03
0.03	5.9052E+02	1.1166E+03	1.4918E+03	1.6035E+03	2.1684E+03	2.7770E+03	3.1255E+03	3.1508E+03	2.9624E+03	2.7409E+03	2.6508E+03	2.7796E+03	3.1105E+03	3.5305E+03	3.8773E+03	4.0252E+03	4.0111E+03	4.2020E+03
0.04	6.4835E+02	1.2868E+03	1.7301E+03	1.8591E+03	2.5203E+03	3.2407E+03	3.6701E+03	3.7348E+03	3.5577E+03	3.3433E+03	3.2779E+03	3.4604E+03	3.8707E+03	4.3786E+03	4.7972E+03	4.9811E+03	4.9712E+03	5.1866E+03
0.05	6.8775E+02	1.4287E+03	1.9393E+03	2.0809E+03	2.8269E+03	3.6484E+03	4.1568E+03	4.2685E+03	4.1168E+03	3.9248E+03	3.8964E+03	4.1392E+03	4.6302E+03	5.2253E+03	5.7175E+03	5.9453E+03	5.9529E+03	6.2018E+03
0.06	7.1320E+02	1.5481E+03	2.1280E+03	2.2771E+03	3.0985E+03	4.0126E+03	4.5977E+03	4.7618E+03	4.6458E+03	4.4877E+03	4.5051E+03	4.8128E+03	5.3854E+03	6.0671E+03	6.6347E+03	6.9134E+03	6.9498E+03	7.2410E+03
0.07	7.2785E+02	1.6488E+03	2.3012E+03	2.4529E+03	3.3413E+03	4.3401E+03	4.9994E+03	5.2194E+03	5.1468E+03	5.0312E+03	5.1009E+03	5.4765E+03	6.1306E+03	6.8981E+03	7.5419E+03	7.8769E+03	7.9518E+03	8.2928E+03
0.08	7.3414E+02	1.7333E+03	2.4618E+03	2.6114E+03	3.5592E+03	4.6354E+03	5.3660E+03	5.6440E+03	5.6203E+03	5.5533E+03	5.6800E+03	6.1253E+03	6.8600E+03	7.7115E+03	8.4318E+03	8.8270E+03	8.9479E+03	9.3447E+03
0.09	7.3401E+02	1.8037E+03	2.6115E+03	2.7549E+03	3.7549E+03	4.9017E+03	5.7002E+03	6.0373E+03	6.0663E+03	6.0525E+03	6.2391E+03	6.7546E+03	7.5684E+03	8.5015E+03	9.2977E+03	9.7559E+03	9.9285E+03	1.0386E+04
0.1	7.2901E+02	1.8616E+03	2.7514E+03	2.8850E+03	3.9306E+03	5.1413E+03	6.0042E+03	6.4004E+03	6.4847E+03	6.5270E+03	6.7754E+03	7.3607E+03	8.2512E+03	9.2633E+03	1.0134E+04	1.0657E+04	1.0885E+04	1.1406E+04
0.15	6.6717E+02	2.0079E+03	3.3114E+03	3.3729E+03	4.5626E+03	6.0046E+03	7.1315E+03	7.8034E+03	8.1699E+03	8.5034E+03	9.0569E+03	9.9640E+03	1.1190E+04	1.2544E+04	1.3749E+04	1.4589E+04	1.5122E+04	1.5968E+04
