2.50E-02	6.2450E+02	1.151E+03	2.3193E+03	2.8720E+03	3.2922E+03	3.6037E+03	3.8821E+03	4.1215E+03	4.2951E+03	4.4513E+03	4.5914E+03	4.7537E+03	4.9110E+03	5.0697E+03	5.2616E+03	5.4129E+03	5.6171E+03	5.7158E+03
3.00E-02	6.6710E+02	1.257E+03	2.5198E+03	3.1439E+03	3.6315E+03	4.0035E+03	4.3278E+03	4.6063E+03	4.8107E+03	4.9910E+03	5.1553E+03	5.3178E+03	5.4856E+03	5.6529E+03	5.8538E+03	6.0193E+03	6.2307E+03	6.3394E+03
4.00E-02	7.3240E+02	1.440E+03	2.8539E+03	3.6102E+03	4.2226E+03	4.7125E+03	5.1314E+03	5.4945E+03	5.7678E+03	6.0040E+03	6.2244E+03	6.3962E+03	6.5852E+03	6.7700E+03	6.9867E+03	7.1761E+03	7.3984E+03	7.5204E+03
5.00E-02	7.7680E+02	1.593E+03	3.1164E+03	3.9967E+03	4.7242E+03	5.3248E+03	5.8371E+03	6.2868E+03	6.6342E+03	6.9338E+03	7.2203E+03	7.4137E+03	7.6302E+03	7.8376E+03	8.0740E+03	8.2871E+03	8.5209E+03	8.6525E+03
6.00E-02	8.0500E+02	1.723E+03	3.3203E+03	4.3169E+03	5.1543E+03	5.8601E+03	6.4632E+03	6.9978E+03	7.4196E+03	7.7852E+03	8.1435E+03	8.3663E+03	8.6193E+03	8.8564E+03	9.1192E+03	9.3600E+03	9.6097E+03	9.7528E+03
7.00E-02	8.2050E+02	1.833E+03	3.4756E+03	4.5788E+03	5.5219E+03	6.3287E+03	7.0210E+03	7.6391E+03	8.1343E+03	8.5662E+03	8.9982E+03	9.2554E+03	9.5510E+03	9.8229E+03	1.0117E+04	1.0390E+04	1.0661E+04	1.0820E+04
8.00E-02	8.2600E+02	1.925E+03	3.5914E+03	4.7897E+03	5.8323E+03	6.7363E+03	7.5168E+03	8.2175E+03	8.7858E+03	9.2840E+03	9.7906E+03	1.0085E+04	1.0426E+04	1.0736E+04	1.1065E+04	1.1373E+04	1.1669E+04	1.1849E+04
9.00E-02	8.2390E+02	2.004E+03	3.6755E+03	4.9568E+03	6.0911E+03	7.0875E+03	7.9545E+03	8.7372E+03	9.3786E+03	9.9435E+03	1.0526E+04	1.0859E+04	1.1248E+04	1.1597E+04	1.1964E+04	1.2308E+04	1.2632E+04	1.2836E+04
1.00E-01	8.1610E+02	2.069E+03	3.7347E+03	5.0872E+03	6.3043E+03	7.3872E+03	8.3378E+03	9.2010E+03	9.9152E+03	1.0547E+04	1.1206E+04	1.1581E+04	1.2018E+04	1.2409E+04	1.2815E+04	1.3196E+04	1.3551E+04	1.3780E+04
1.50E-01	7.3710E+02	2.245E+03	3.8125E+03	5.3870E+03	6.8888E+03	8.2986E+03	9.5943E+03	1.0808E+04	1.1857E+04	1.2813E+04	1.3848E+04	1.4455E+04	1.5152E+04	1.5773E+04	1.6396E+04	1.6986E+04	1.7518E+04	1.7904E+04
2.00E-01	6.6130E+02	2.260E+03	3.7349E+03	5.4028E+03	7.0451E+03	8.6350E+03	1.0145E+04	1.1596E+04	1.2890E+04	1.4099E+04	1.5453E+04	1.6279E+04	1.7230E+04	1.8090E+04	1.8945E+04	1.9762E+04	2.0497E+04	2.1070E+04
